Date,Store ID,Product ID,Category,Region,Price,Discount,Cost,Competitor Pricing,Weather Condition,Seasonality,Holiday/Promotion,Month,Year,DayOfWeek,Units Sold,Units Ordered,Inventory Level,Revenue,Profit
2022-01-04,S008,P029,Furniture,East,73.48,19.5,46.77,66.34,Rainy,Normal,1,1,2022,1,71,71,128,4199.75,879.08
2022-01-04,S016,P028,Clothing,West,83.74,2.1,58.63,89.27,Cloudy,Off-Season,0,1,2022,1,44,46,64,3607.18,1027.46
2022-01-04,S006,P039,Furniture,West,33.82,17.7,18.22,32.23,Sunny,Normal,1,1,2022,1,39,35,76,1085.52,374.94
2022-01-04,S004,P007,Toys,South,60.58,19.0,39.33,57.24,Sunny,Normal,1,1,2022,1,194,167,396,9519.54,1889.52
2022-01-04,S020,P019,Groceries,South,17.73,7.5,10.38,18.97,Cloudy,Normal,0,1,2022,1,80,73,150,1312.02,481.62
2022-01-04,S017,P030,Toys,East,100.76,2.1,65.73,102.55,Rainy,Festival,0,1,2022,1,101,117,256,9963.05,3324.32
2022-01-04,S002,P015,Furniture,West,76.13,29.4,57.62,71.94,Cloudy,Festival,1,1,2022,1,161,162,252,8653.39,-623.43
2022-01-04,S010,P036,Clothing,North,22.52,5.6,15.87,22.41,Cloudy,Normal,1,1,2022,1,95,90,229,2019.59,511.94
2022-01-04,S020,P001,Toys,South,33.42,7.7,20.89,36.44,Rainy,Normal,0,1,2022,1,42,38,95,1295.56,418.18
2022-01-04,S010,P025,Furniture,North,21.45,5.1,12.36,23.43,Snowy,Normal,0,1,2022,1,25,27,54,508.9,199.9
2022-01-04,S019,P016,Groceries,West,67.59,5.6,50.71,71.34,Cloudy,Festival,0,1,2022,1,45,48,83,2871.22,589.27
2022-01-05,S017,P011,Furniture,East,80.38,7.5,62.33,76.39,Snowy,Off-Season,0,1,2022,2,26,27,37,1933.14,312.56
2022-01-05,S002,P008,Clothing,West,72.39,0.4,42.41,69.85,Cloudy,Festival,0,1,2022,2,92,104,203,6633.24,2731.52
2022-01-05,S004,P032,Toys,South,62.03,7.5,39.21,60.85,Sunny,Normal,0,1,2022,2,88,95,122,5049.24,1598.76
2022-01-05,S006,P031,Groceries,West,78.99,7.0,56.51,80.9,Sunny,Off-Season,0,1,2022,2,18,18,46,1322.29,305.11
2022-01-05,S015,P002,Furniture,East,15.48,1.3,10.87,16.34,Rainy,Normal,0,1,2022,2,80,94,135,1222.3,352.7
2022-01-05,S012,P003,Clothing,West,103.14,7.2,62.41,97.77,Cloudy,Normal,0,1,2022,2,49,45,97,4689.98,1631.89
2022-01-05,S006,P029,Furniture,West,73.38,0.9,46.77,70.09,Rainy,Off-Season,0,1,2022,2,39,41,53,2836.06,1012.03
2022-01-05,S018,P036,Clothing,North,24.81,5.0,15.87,25.53,Rainy,Festival,0,1,2022,2,59,55,110,1390.6,454.27
2022-01-05,S018,P014,Electronics,North,95.58,19.9,70.9,91.65,Rainy,Festival,1,1,2022,2,101,113,256,7732.52,571.62
2022-01-05,S010,P018,Clothing,North,47.19,0.3,28.35,44.4,Snowy,Normal,0,1,2022,2,90,77,130,4234.36,1682.86
2022-01-05,S016,P024,Toys,West,37.23,6.1,26.34,35.31,Rainy,Normal,1,1,2022,2,76,89,152,2656.88,655.04
2022-01-05,S012,P031,Groceries,West,79.79,13.0,56.51,80.13,Rainy,Normal,1,1,2022,2,43,53,108,2984.94,555.01
2022-01-05,S004,P015,Furniture,South,82.97,2.4,57.62,86.8,Snowy,Off-Season,0,1,2022,2,33,36,59,2672.3,770.84
2022-01-05,S014,P033,Toys,West,101.31,4.4,56.96,106.55,Sunny,Normal,0,1,2022,2,59,72,98,5714.29,2353.65
2022-01-06,S018,P007,Toys,North,66.73,19.1,39.33,67.14,Cloudy,Normal,1,1,2022,3,109,94,257,5884.32,1597.35
2022-01-06,S006,P026,Furniture,West,46.19,18.6,32.13,44.86,Snowy,Normal,1,1,2022,3,67,64,137,2519.11,366.4
2022-01-06,S015,P003,Clothing,East,98.08,26.1,62.41,89.07,Sunny,Normal,1,1,2022,3,123,110,245,8915.18,1238.75
2022-01-06,S019,P019,Groceries,West,17.43,5.9,10.38,17.64,Sunny,Off-Season,1,1,2022,3,49,50,73,803.68,295.06
2022-01-06,S017,P021,Toys,East,39.76,6.5,24.06,41.71,Cloudy,Off-Season,0,1,2022,3,56,66,128,2081.83,734.47
2022-01-06,S010,P021,Toys,North,36.36,7.6,24.06,39.87,Rainy,Normal,1,1,2022,3,135,115,326,4535.55,1287.45
2022-01-06,S014,P038,Furniture,West,59.24,7.4,36.76,56.19,Cloudy,Normal,0,1,2022,3,105,110,186,5759.91,1900.11
2022-01-06,S011,P011,Furniture,East,87.94,23.4,62.33,79.31,Cloudy,Normal,1,1,2022,3,88,83,223,5927.86,442.82
2022-01-06,S004,P011,Furniture,South,83.03,22.8,62.33,77.98,Rainy,Normal,1,1,2022,3,92,78,238,5897.12,162.76
2022-01-06,S015,P006,Clothing,East,90.0,15.6,65.56,85.43,Snowy,Normal,1,1,2022,3,59,51,132,4481.64,613.6
2022-01-06,S018,P028,Clothing,North,81.79,4.6,58.63,76.62,Snowy,Normal,0,1,2022,3,62,61,104,4837.71,1202.65
2022-01-07,S011,P012,Electronics,East,66.77,6.8,44.48,68.76,Cloudy,Normal,0,1,2022,4,59,59,91,3671.55,1047.23
2022-01-07,S014,P019,Groceries,West,18.28,5.5,10.38,19.57,Snowy,Off-Season,0,1,2022,4,60,55,151,1036.48,413.68
2022-01-07,S007,P008,Clothing,North,79.22,18.5,42.41,85.35,Cloudy,Off-Season,1,1,2022,4,48,44,99,3099.09,1063.41
2022-01-07,S017,P025,Furniture,East,20.35,5.3,12.36,20.85,Cloudy,Normal,0,1,2022,4,26,29,54,501.06,179.7
2022-01-07,S001,P011,Furniture,North,79.52,6.1,62.33,84.98,Snowy,Normal,0,1,2022,4,41,50,69,3061.44,505.91
2022-01-07,S004,P038,Furniture,South,63.29,20.3,36.76,63.63,Rainy,Normal,1,1,2022,4,108,131,163,5447.75,1477.67
2022-01-07,S010,P020,Furniture,North,58.09,17.3,44.46,55.61,Sunny,Normal,1,1,2022,4,42,45,109,2017.7,150.38
2022-01-07,S007,P002,Furniture,North,15.6,15.4,10.87,16.25,Snowy,Normal,1,1,2022,4,131,154,174,1728.89,304.92
2022-01-07,S013,P039,Furniture,East,30.64,3.1,18.22,33.58,Rainy,Off-Season,0,1,2022,4,25,22,65,742.25,286.75
2022-01-07,S006,P040,Electronics,West,66.85,4.5,45.13,69.26,Snowy,Normal,0,1,2022,4,58,58,139,3702.82,1085.28
2022-01-07,S005,P010,Groceries,South,26.54,18.2,20.07,27.94,Cloudy,Off-Season,1,1,2022,4,29,27,66,629.58,47.55
2022-01-08,S009,P012,Electronics,North,67.4,28.6,44.48,67.41,Sunny,Normal,1,1,2022,5,106,98,221,5101.1,386.22
2022-01-08,S005,P011,Furniture,South,82.58,0.6,62.33,82.76,Sunny,Normal,0,1,2022,5,64,59,88,5253.41,1264.29
2022-01-08,S010,P002,Furniture,North,15.71,8.9,10.87,16.05,Rainy,Normal,1,1,2022,5,137,153,267,1960.72,471.53
2022-01-08,S019,P007,Toys,West,67.88,3.5,39.33,72.0,Cloudy,Normal,0,1,2022,5,79,89,108,5174.83,2067.76
2022-01-08,S002,P015,Furniture,West,81.12,4.2,57.62,84.49,Snowy,Normal,0,1,2022,5,76,75,122,5906.18,1527.06
2022-01-08,S002,P020,Furniture,West,61.37,1.6,44.46,65.35,Sunny,Normal,0,1,2022,5,29,28,69,1751.25,461.91
2022-01-08,S005,P021,Toys,South,37.3,5.6,24.06,34.9,Snowy,Normal,0,1,2022,5,114,109,201,4014.08,1271.24
2022-01-08,S004,P002,Furniture,South,16.77,20.3,10.87,18.15,Sunny,Normal,1,1,2022,5,158,188,365,2111.78,394.32
2022-01-08,S008,P022,Groceries,East,58.99,1.4,34.19,61.53,Rainy,Festival,0,1,2022,5,119,112,215,6921.53,2852.92
2022-01-08,S003,P010,Groceries,East,29.12,6.6,20.07,29.12,Sunny,Normal,0,1,2022,5,30,29,72,815.94,213.84
2022-01-08,S016,P010,Groceries,West,25.93,1.7,20.07,28.0,Snowy,Festival,0,1,2022,5,43,43,74,1096.04,233.03
2022-01-08,S017,P030,Toys,East,90.09,7.5,65.73,83.77,Cloudy,Normal,0,1,2022,5,108,130,182,8999.99,1901.15
2022-01-08,S014,P039,Furniture,West,30.11,0.4,18.22,27.33,Cloudy,Off-Season,0,1,2022,5,50,54,116,1499.48,588.48
2022-01-08,S002,P014,Electronics,West,88.06,4.6,70.9,94.26,Snowy,Off-Season,0,1,2022,5,64,79,146,5376.59,838.99
2022-01-08,S004,P018,Clothing,South,48.64,13.7,28.35,45.33,Snowy,Normal,1,1,2022,5,151,161,362,6338.42,2057.57
2022-01-08,S001,P029,Furniture,North,77.39,6.9,46.77,79.83,Snowy,Off-Season,0,1,2022,5,35,34,70,2521.75,884.8
2022-01-09,S007,P025,Furniture,North,20.54,5.0,12.36,20.51,Rainy,Festival,0,1,2022,6,53,51,113,1034.19,379.11
2022-01-09,S016,P016,Groceries,West,69.08,5.9,50.71,68.62,Snowy,Normal,0,1,2022,6,53,51,118,3445.23,757.6
2022-01-09,S003,P009,Electronics,East,28.14,7.4,17.02,29.48,Snowy,Normal,0,1,2022,6,106,102,214,2762.11,957.99
2022-01-09,S002,P011,Furniture,West,80.28,7.3,62.33,74.48,Snowy,Normal,0,1,2022,6,71,84,161,5283.79,858.36
2022-01-09,S006,P025,Furniture,West,22.44,3.0,12.36,23.0,Sunny,Off-Season,0,1,2022,6,18,15,32,391.8,169.32
2022-01-09,S009,P026,Furniture,North,45.96,7.5,32.13,49.45,Snowy,Normal,0,1,2022,6,72,78,105,3060.94,747.58
2022-01-09,S012,P028,Clothing,West,80.25,5.9,58.63,80.62,Sunny,Normal,1,1,2022,6,98,92,154,7400.49,1654.75
2022-01-09,S019,P003,Clothing,West,92.33,2.3,62.41,92.82,Sunny,Off-Season,0,1,2022,6,45,54,114,4059.29,1250.84
2022-01-09,S006,P011,Furniture,West,90.11,1.3,62.33,99.1,Rainy,Normal,0,1,2022,6,44,46,78,3913.3,1170.78
2022-01-09,S003,P033,Toys,East,101.49,6.4,56.96,110.05,Rainy,Normal,1,1,2022,6,63,54,156,5984.66,2396.18
2022-01-09,S008,P016,Groceries,East,72.44,6.4,50.71,70.95,Sunny,Normal,0,1,2022,6,36,32,87,2440.94,615.38
2022-01-09,S005,P032,Toys,South,55.96,1.0,39.21,52.14,Snowy,Normal,0,1,2022,6,114,131,291,6315.65,1845.71
2022-01-09,S006,P033,Toys,West,93.84,5.3,56.96,85.52,Rainy,Normal,0,1,2022,6,34,36,54,3021.46,1084.82
2022-01-09,S003,P025,Furniture,East,20.15,3.7,12.36,19.38,Cloudy,Normal,0,1,2022,6,39,35,100,756.77,274.73
2022-01-09,S019,P031,Groceries,West,90.53,24.8,56.51,96.17,Snowy,Festival,1,1,2022,6,81,100,140,5514.36,937.05
2022-01-09,S018,P038,Furniture,North,59.03,2.3,36.76,53.87,Sunny,Normal,0,1,2022,6,81,90,165,4671.46,1693.9
2022-01-09,S010,P028,Clothing,North,81.56,13.7,58.63,74.68,Snowy,Festival,1,1,2022,6,233,212,518,16400.0,2739.21
2022-01-09,S002,P004,Toys,West,78.56,7.1,53.11,81.47,Snowy,Festival,1,1,2022,6,169,155,267,12334.0,3358.41
2022-01-10,S015,P002,Furniture,East,16.49,26.7,10.87,15.19,Rainy,Normal,1,1,2022,0,153,131,342,1849.34,186.23
2022-01-10,S017,P011,Furniture,East,89.76,26.5,62.33,97.47,Rainy,Festival,1,1,2022,0,104,121,225,6861.25,378.93
2022-01-10,S009,P029,Furniture,North,71.17,4.1,46.77,72.78,Snowy,Normal,0,1,2022,0,60,56,142,4095.12,1288.92
2022-01-10,S011,P002,Furniture,East,16.31,7.5,10.87,16.38,Cloudy,Normal,0,1,2022,0,113,123,155,1704.8,476.49
2022-01-10,S012,P033,Toys,West,101.86,19.1,56.96,106.71,Cloudy,Normal,1,1,2022,0,45,50,116,3708.21,1145.01
2022-01-10,S012,P033,Toys,West,103.88,0.7,56.96,97.13,Rainy,Normal,0,1,2022,0,29,34,55,2991.43,1339.59
2022-01-10,S014,P007,Toys,West,60.17,2.0,39.33,54.58,Rainy,Off-Season,0,1,2022,0,86,94,156,5071.13,1688.75
2022-01-10,S006,P009,Electronics,West,27.42,0.2,17.02,27.04,Sunny,Normal,0,1,2022,0,72,65,165,1970.29,744.85
2022-01-10,S012,P006,Clothing,West,100.01,6.2,65.56,98.52,Sunny,Off-Season,0,1,2022,0,13,12,23,1219.52,367.24
2022-01-11,S010,P021,Toys,North,38.5,19.0,24.06,36.41,Rainy,Normal,1,1,2022,1,121,114,309,3773.38,862.12
2022-01-11,S013,P040,Electronics,East,63.24,4.6,45.13,69.37,Sunny,Normal,0,1,2022,1,142,146,249,8567.0,2158.54
2022-01-11,S015,P034,Clothing,East,31.31,25.0,20.6,30.69,Snowy,Festival,1,1,2022,1,74,91,123,1737.7,213.3
2022-01-11,S014,P033,Toys,West,104.75,7.2,56.96,99.84,Cloudy,Normal,0,1,2022,1,52,61,118,5054.82,2092.9
2022-01-11,S018,P002,Furniture,North,15.9,7.8,10.87,17.42,Cloudy,Normal,0,1,2022,1,58,58,85,850.27,219.81
2022-01-11,S004,P020,Furniture,South,57.15,20.8,44.46,54.02,Cloudy,Normal,1,1,2022,1,48,48,107,2172.61,38.53
2022-01-11,S006,P023,Electronics,West,99.97,12.9,63.94,93.96,Cloudy,Normal,1,1,2022,1,28,32,56,2438.07,647.75
2022-01-11,S017,P035,Toys,East,17.79,21.6,9.7,19.08,Sunny,Festival,1,1,2022,1,168,148,272,2343.16,713.56
2022-01-11,S001,P029,Furniture,North,75.41,5.5,46.77,73.49,Cloudy,Normal,0,1,2022,1,63,58,95,4489.53,1543.02
2022-01-12,S017,P009,Electronics,East,27.52,24.0,17.02,29.49,Rainy,Off-Season,1,1,2022,2,106,114,157,2217.01,412.89
2022-01-12,S009,P017,Clothing,North,75.84,2.4,47.17,71.11,Rainy,Festival,0,1,2022,2,101,94,155,7476.0,2711.83
2022-01-12,S015,P036,Clothing,East,25.95,11.8,15.87,26.47,Snowy,Off-Season,1,1,2022,2,68,74,120,1556.38,477.22
2022-01-12,S015,P014,Electronics,East,98.01,2.7,70.9,100.45,Cloudy,Normal,0,1,2022,2,66,68,92,6294.01,1614.61
2022-01-12,S016,P009,Electronics,West,29.52,6.3,17.02,29.7,Sunny,Festival,1,1,2022,2,119,148,243,3291.57,1266.19
2022-01-12,S018,P018,Clothing,North,44.9,5.7,28.35,48.45,Cloudy,Off-Season,0,1,2022,2,31,34,41,1312.56,433.71
2022-01-12,S012,P004,Toys,West,87.38,1.3,53.11,87.35,Sunny,Off-Season,0,1,2022,2,28,25,61,2414.83,927.75
2022-01-12,S011,P035,Toys,East,17.51,7.5,9.7,16.97,Rainy,Normal,0,1,2022,2,70,64,167,1133.77,454.77
2022-01-12,S011,P032,Toys,East,58.21,2.9,39.21,62.37,Rainy,Normal,0,1,2022,2,92,100,236,5200.02,1592.7
2022-01-12,S008,P020,Furniture,East,59.01,15.1,44.46,53.14,Sunny,Normal,1,1,2022,2,23,28,41,1152.29,129.71
2022-01-12,S007,P020,Furniture,North,60.73,7.2,44.46,62.27,Rainy,Off-Season,1,1,2022,2,18,17,25,1014.43,214.15
2022-01-12,S001,P020,Furniture,North,60.12,2.0,44.46,65.67,Snowy,Normal,0,1,2022,2,14,13,28,824.85,202.41
2022-01-12,S008,P005,Groceries,East,88.56,0.4,54.34,97.39,Rainy,Festival,0,1,2022,2,98,101,205,8644.16,3318.84
2022-01-12,S019,P005,Groceries,West,87.98,1.9,54.34,81.73,Snowy,Normal,0,1,2022,2,58,59,105,5005.89,1854.17
2022-01-12,S013,P026,Furniture,East,41.61,9.6,32.13,38.13,Cloudy,Festival,1,1,2022,2,251,252,494,9441.48,1376.85
2022-01-13,S004,P006,Clothing,South,93.81,6.6,65.56,96.8,Cloudy,Normal,0,1,2022,3,32,34,53,2803.79,705.87
2022-01-13,S008,P012,Electronics,East,68.92,7.2,44.48,71.27,Sunny,Off-Season,0,1,2022,3,22,22,39,1407.07,428.51
2022-01-13,S018,P040,Electronics,North,66.34,19.3,45.13,60.02,Rainy,Off-Season,1,1,2022,3,71,73,111,3801.08,596.85
2022-01-13,S013,P028,Clothing,East,86.85,29.7,58.63,92.17,Sunny,Normal,1,1,2022,3,130,115,225,7937.22,315.32
2022-01-13,S001,P015,Furniture,North,80.3,10.9,57.62,74.71,Cloudy,Normal,1,1,2022,3,82,86,173,5866.88,1142.04
2022-01-13,S014,P004,Toys,West,87.08,19.9,53.11,89.25,Rainy,Normal,1,1,2022,3,85,95,159,5928.84,1414.49
2022-01-13,S005,P032,Toys,South,60.95,8.9,39.21,61.28,Cloudy,Festival,1,1,2022,3,153,184,347,8495.39,2496.26
2022-01-13,S010,P015,Furniture,North,76.51,20.0,57.62,79.7,Sunny,Off-Season,1,1,2022,3,82,79,129,5019.06,294.22
2022-01-13,S010,P032,Toys,North,57.48,1.3,39.21,58.73,Sunny,Normal,0,1,2022,3,98,103,146,5559.81,1717.23
2022-01-13,S002,P006,Clothing,West,94.2,2.9,65.56,87.0,Cloudy,Normal,0,1,2022,3,31,36,76,2835.51,803.15
2022-01-13,S003,P022,Groceries,East,58.14,1.8,34.19,63.92,Cloudy,Festival,0,1,2022,3,157,146,226,8963.68,3595.85
2022-01-13,S018,P031,Groceries,North,90.93,21.0,56.51,89.7,Sunny,Normal,1,1,2022,3,28,26,58,2011.37,429.09
2022-01-14,S015,P006,Clothing,East,101.99,16.2,65.56,95.25,Rainy,Normal,1,1,2022,4,46,46,118,3931.51,915.75
2022-01-14,S014,P031,Groceries,West,80.79,19.8,56.51,84.15,Rainy,Off-Season,1,1,2022,4,32,39,64,2073.39,265.07
2022-01-14,S017,P035,Toys,East,18.04,18.5,9.7,17.22,Cloudy,Normal,1,1,2022,4,85,79,212,1249.72,425.22
2022-01-14,S005,P034,Clothing,South,34.8,25.3,20.6,31.69,Rainy,Normal,1,1,2022,4,42,36,103,1091.82,226.62
2022-01-14,S019,P035,Toys,West,17.23,1.1,9.7,16.36,Rainy,Normal,0,1,2022,4,37,44,67,630.5,271.6
2022-01-14,S018,P019,Groceries,North,17.53,2.5,10.38,17.89,Sunny,Off-Season,0,1,2022,4,32,32,56,546.94,214.78
2022-01-14,S014,P004,Toys,West,85.73,0.6,53.11,90.21,Rainy,Festival,0,1,2022,4,72,80,151,6135.52,2311.6
2022-01-14,S014,P015,Furniture,West,87.8,7.7,57.62,89.1,Rainy,Festival,0,1,2022,4,67,76,124,5429.64,1569.1
2022-01-14,S004,P018,Clothing,South,45.79,20.9,28.35,46.94,Rainy,Normal,1,1,2022,4,136,138,273,4925.91,1070.31
2022-01-14,S018,P010,Groceries,North,25.88,17.1,20.07,26.33,Cloudy,Festival,1,1,2022,4,33,32,64,708.0,45.69
2022-01-14,S004,P006,Clothing,South,102.42,1.4,65.56,94.8,Rainy,Off-Season,0,1,2022,4,26,25,47,2625.64,921.08
2022-01-15,S019,P007,Toys,West,59.14,2.9,39.33,62.43,Snowy,Off-Season,0,1,2022,5,67,80,100,3847.47,1212.36
2022-01-15,S004,P012,Electronics,South,65.96,8.0,44.48,70.22,Cloudy,Off-Season,0,1,2022,5,57,70,136,3458.94,923.58
2022-01-15,S006,P040,Electronics,West,68.38,1.7,45.13,63.12,Sunny,Normal,0,1,2022,5,81,76,129,5444.62,1789.09
2022-01-15,S006,P004,Toys,West,81.58,5.3,53.11,76.42,Snowy,Normal,0,1,2022,5,50,49,129,3862.81,1207.31
2022-01-15,S017,P005,Groceries,East,89.87,14.4,54.34,95.86,Rainy,Off-Season,1,1,2022,5,95,81,175,7308.23,2145.93
2022-01-15,S009,P036,Clothing,North,24.25,2.9,15.87,22.38,Rainy,Festival,0,1,2022,5,122,135,256,2872.7,936.56
2022-01-15,S002,P031,Groceries,West,87.61,6.1,56.51,79.35,Snowy,Off-Season,0,1,2022,5,35,33,52,2879.3,901.45
2022-01-16,S006,P021,Toys,West,40.02,6.9,24.06,36.75,Sunny,Normal,1,1,2022,6,120,141,195,4471.03,1583.83
2022-01-16,S005,P020,Furniture,South,56.02,0.6,44.46,51.22,Snowy,Off-Season,0,1,2022,6,14,13,26,779.57,157.13
2022-01-16,S006,P006,Clothing,West,89.71,0.6,65.56,83.63,Sunny,Festival,0,1,2022,6,38,35,69,3388.53,897.25
2022-01-16,S002,P030,Toys,West,101.78,5.4,65.73,108.04,Cloudy,Normal,1,1,2022,6,126,116,197,12131.77,3849.79
2022-01-16,S017,P010,Groceries,East,26.58,27.1,20.07,26.78,Snowy,Festival,1,1,2022,6,93,84,182,1802.04,-64.47
2022-01-16,S016,P032,Toys,West,61.35,5.7,39.21,58.42,Snowy,Normal,0,1,2022,6,82,72,140,4743.95,1528.73
